Indicator type,Indicator,Description
domain,chataigpt.top,
domain,qzfdcopopap.info,
domain,tgwoihstx.info,
domain,cqxgjpgjd0dj8ji5qtivgskjhmzge.no,
domain,ppydpgm.info,
domain,mbgpalpxc.info,
domain,zurfrfvi.info,
domain,yvxbfnf.info,
domain,hjzustbmzme.info,
domain,7p3ah4ioiwngfg5rvwjsnvumwklgm.in,
domain,uxf6iuzn5mhzfiqkxfz1gz1k4uyyd.il,
domain,1bjmhnipwwzmczep2h1xu2vx6w8aj.gm,
domain,6s97vwghkkrs1rkzjslm1eeahp5oz.gw,
domain,eoxvheehlxwpesuhbzvwb2r8q1lqg.tw,
domain,swymhpmcbn.info,
domain,zcobfufmzn.info,
domain,twqhvhxic.com,
domain,5jx23wbookyjkipmmkdhf2qwxhfhv.sc,
domain,fynx6wjpeggp4gex5jkjqzj2i9qup.bs,
domain,jzkfr.cc,
domain,mimqeyopwuc.info,
domain,zjsnvtitaz0vtolb8xv4hb69lmaze.mu,
domain,ulowsoxnvtzhzwtw5r8ff1enbmpqg.uy,
domain,buiiwnswr.info,
domain,wr3wuzy5ylduckgzd1xduqxlgriqn.cm,
domain,zt7uozjbxemxvxodf1fl7lvnjfr0d.sn,
domain,blzlv.info,
domain,kfiweymenfv.cn,
domain,yulmyuqc9o0ngvmqkzuejvkpxszxx.bn,
domain,1weblhiglhvvay.com,
domain,mbpbtfo7nu96w7uqr6jsrnuvbna.info,
domain,w4mtpmckiy27l0bknyqexoqomyunn.bz,
domain,vkxqsszg.cn,
domain,xvivvizok1madnyzw5oigmpnqkpfw.gr,
domain,4bn9qeh35h9mdf0jlesm7urjq0sw1.st,
domain,st3vhnynkzfjkyagowlt9l21xqqr9.th,
domain,n7yjtbyscybwqjoit8lh8mi9lxz6e.mo,
domain,mwrtsvssib.cc,
domain,j2uyyzbun2j14prgsta8lhmlsazm3.ky,
domain,fxmvcptvsa.biz,
domain,1welblhiglhway.com,
domain,tbixlw.cc,
domain,dfqixjks.net,
domain,wvzpfmqsxu.net,
domain,ihcyfkgcsm988e1gqc8qwuhgm1esw.ro,
domain,qkuuopislwe.cn,
domain,fromncwjcrscy.com,
domain,fromnewjdrsey.com,
domain,2ottt7rlobp397ao8vkebvmoulziv.wf,
domain,spotscemcrcd.info,
domain,qvaqppql.cc,
domain,ylyrggky0ylt46ybziosngbxrwjw0.tf,
domain,rpkdswkeph3602tq2knqb8lji6axi.pn,
domain,tllhewizzkid.com,
domain,k55om2wkqqhteaoppld6cssg2zjda.gy,
domain,vvhoopynnail.com,
domain,cchmrjhyu9obkkcuc4c9greg9g3if.ro,
domain,blznetvlqator.com,
domain,gmlrpmwi.cn,
domain,zguezgzx.com,
domain,hodlcgbdpay.org,
domain,82bmphzdmabhhpjjkurtffo4wlylg.tg,
domain,awnpnhfnsgzsodapklgdkrfsmnj58.vn,
domain,llqkqflajm.info,
domain,dbrvjybv.net,
domain,zi9cmcby8u1qn0d63enwhsvqjiuur.km,
domain,mwwmcbbimypphzeqwri2o77sox5jw.je,
domain,fromllllrols.com,
domain,cprroffcrconvcrt.com,
