"Indicator type","Indicator","Description"
"domain","chataigpt.top",""
"domain","digitalfileportal.com",""
"domain","ezoom.top",""
"domain","hdpng.com",""
"domain","goetz-brand.de",""
"domain","kkscript.com",""
"domain","cosmeticsrc.com",""
"domain","butikstrender.se",""
"domain","listenprincipalfiring.com",""
"domain","saferworld.live",""
"domain","linkcuts.org",""
"domain","pukhto.net",""
"domain","storingen.nl",""
"domain","solar-windows-28248.bond",""
"domain","taxhero.net",""
"domain","taifun.army",""
"domain","visalettersapplication.com",""
"domain","mydaycos.com",""
"domain","sendingads.com",""
"domain","wordpress-developer.us",""
"domain","ithacayouthmedia.org",""
"domain","webtend.site",""
"domain","0l89idckrgwb1ipn6afeczchi7s8i.ms",""
"domain","1ow8uptbljxrvrecxvmus7rm4wcew.gg",""
"domain","8kjexexiv2wv3jcxiwytyfhjd4mxd.om",""
"domain","3cwubdeotxrj2gsqwjcfary8ailke.md",""
"domain","2mczvfqcz47aedgx7whufwy3m7ljr.gm",""
"domain","1jbnddjys64wf8wbt1ijshg9njilf.gu",""
"domain","4ei3v6tl1bucx93t6s5hpwflyn8lv.tz",""
"domain","0sceko6ep4s8lr9jzd95ae4cn9zww.mx",""
"domain","6iiuknfdach0ifcijdtkz7wdqctwx.gd",""
"domain","3fifvtbzxvlilichgnkknc42o8ynv.ee",""
"domain","3cgqnphtjrhbxgdba5jsrjiqwvsp5.hk",""
"domain","accuweaqther.com",""
"domain","8ver.com",""
"domain","69zvytvdujcu9e5aulmrm9kbp8whn.uz",""
"domain","accuweatlhcr.com",""
"domain","adzybgz.info",""
"domain","almasryalyoqm.com",""
"domain","andnhrajyothy.com",""
"domain","arbhrajyothy.com",""
"domain","5lmlwrlmgquyznblduyym4rxldvg1.gn",""
"domain","bacfhelorboy.com",""
"domain","bacikpaclkers.com",""
"domain","bacllkpaclkers.com",""
"domain","bacllkpacllkers.com",""
"domain","almasryalyozum.com",""
"domain","bacxhelorboy.com",""
"domain","bfvuoserjo.cc",""
"domain","bhcsoop.info",""
"domain","blvamop61v8irvbd9uis2hi5vmv1o.tr",""
"domain","awy3ziptvuzpdbmg1mmhbbawbe103.ao",""
"domain","bdf40teihsbdb0oyyxitvpotluiv2.iq",""
"domain","bobybullblng.com",""
"domain","boolcmyshovv.com",""
"domain","brekkyinmybed.com",""
"domain","bqu5nstglwnlcxto9qtbpphdlvxv2.us",""
"domain","briqhtonciick.com",""
"domain","briglhtonciick.com",""
"domain","btutcusq.com",""
"domain","btz3chxzcnbdtqzh2cxdgu9j78fax.ye",""
"domain","buiiwnswr.info",""
"domain","buslncsswcekmail.com",""
"domain","buslncsswcckmall.com",""
"domain","craslhlytlcs.com",""
"domain","ctzkkllkk.info",""
"domain","cxofkswliva.biz",""
"domain","dcxialnvcstor.net",""
"domain","dfqixjks.net",""
"domain","didlcgatcway.com",""
"domain","diwfhrpn.cn",""
"domain","dmxdnqpn0dypurrldtk0bdz5bnrjg.rs",""
"domain","dvkgvestuyy.biz",""
"domain","e2-3.dev",""
"domain","efpuauqsu.com",""
"domain","eg4by4caovmov8byjxhww8nk4umno.ug",""
"domain","ekkg4tefpqzg9awwlcv6kvhyn0yyb.ag",""
"domain","emhrxjtjzfedatai4f6nvtpdlsq8y.ug",""
"domain","emoevtiaar.com",""
"domain","eobyti.org",""
"domain","avrdccd.ws",""
"domain","eubdcyzjdq.com",""
"domain","fad0tdaiiozbd4ydzgrnimfatzkkn.sn",""
"domain","bnsnejp.ws",""
"domain","fmxfox.biz",""
"domain","fnizamlmpm.org",""
"domain","fontawcsorrc.com",""
"domain","frnrflpa.org",""
"domain","fxmvcptvsa.biz",""
"domain","gfetqdtren.cc",""
"domain","glm7nohowxrdanxwso2tcpgtbpqe3.pm",""
"domain","cwialdpza.ws",""
"domain","h8kl9xjjctnit9ioyvg9tj3ukziry.gl",""
"domain","h0llyvvoodkids.com",""
"domain","hhhrwxce.cc",""
"domain","hoiiyvvoodkids.com",""
"domain","hpnusa.cn",""
"domain","hnutpylugqasa7pcikh9visjkk8ur.nc",""
"domain","hsglm.cc",""
"domain","hqbctxnq.cn",""
"domain","hxpjvai2ox7y5pbihwjq2zotwlbnd.ne",""
"domain","iaayylmr.cc",""
"domain","iiykyx471bhda8khblda1e9l4gjiv.tf",""
"domain","ikbnydlhe.com",""
"domain","imncvcrwromg.com",""
"domain","iprcdlictivc.com",""
"domain","irnncvcrwrong.com",""
"domain","etvotkfl.ws",""
"domain","jednorazovka.com",""
"domain","ji1uvg9kpjwv3mej8n8jucaybdkrw.bf",""
"domain","fbrnanu.ws",""
"domain","jmjpzzebcev.info",""
"domain","htvwpad.ws",""
"domain","jsobsusr.info",""
"domain","kddbguxo.cc",""
"domain","ivbbatu.ws",""
"domain","kxuculft.net",""
"domain","jmahvx.ws",""
"domain","laqnchdarkly.com",""
